element_id,sentence_id,sentiment
1,1,0.060280768
1,2,-0.002130889
1,3,-0.082529175
1,4,0.138769359
1,5,-0.30321736
1,6,0
1,7,0.216115901
1,8,-0.088888889
1,9,0.179240372
1,10,0.205579874
1,11,-0.042768917
1,12,0.048156289
1,13,0.274957153
1,14,0.140493002
1,15,-0.064149557
1,16,0.195505918
1,17,0.260577274
1,18,0.300643762
1,19,0.066666667
1,20,0.03065186
1,21,0.138584739
1,22,0.200312897
1,23,0
1,24,-0.158386123
1,25,0.37387257
1,26,0.003528053
1,27,-0.097712012
1,28,0.123352325
1,29,0.146097186
1,30,0.042785583
1,31,-0.135615819
1,32,-0.027768913
1,33,0
1,34,-0.238010758
1,35,0.064927872
1,36,0.017638974
1,37,0.114749203
1,38,0.44273216
1,39,0.237229838
1,40,0.180128628
1,41,0.380774639
1,42,-0.041979287
1,43,-0.302836251
1,44,0.549852173
1,45,0.036877447
1,46,-0.185690311
1,47,0
1,48,0.102140498
1,49,0.169142061
1,50,0.139018824
1,51,0.138888889
1,52,0
1,53,0.024346737
1,54,0.22975982
1,55,0.311102113
1,56,-0.02505795
1,57,0.068419511
1,58,0.099380799
1,59,0.261866214
1,60,0.155733266
1,61,0.132112621
1,62,0
1,63,-0.038164545
1,64,-0.199297134
1,65,0.106916717
1,66,-0.202798604
1,67,-0.144348248
1,68,-0.011865403
1,69,-0.035355339
1,70,-0.000104068
1,71,0.202285257
1,72,0.175682092
1,73,0.244948974
1,74,-0.110199444
1,75,0.083999743
1,76,0.001310215
1,77,-0.182991276
1,78,0
2,1,0.480331179
2,2,-0.109694759
2,3,0.186621982
2,4,-0.086066296
2,5,0.049514724
2,6,-0.04822702
2,7,-0.031933533
2,8,0.006995475
2,9,-0.087081332
2,10,0.311773358
2,11,0.191681491
2,12,0
2,13,0.070823098
2,14,0.086918944
2,15,0
2,16,-0.275700462
2,17,0
2,18,0.019055398
2,19,-0.19641855
2,20,0.050292975
2,21,0.292096698
2,22,0.465335346
2,23,0.197665803
2,24,0.461398388
2,25,0
2,26,0.311386146
2,27,0.031291778
2,28,-0.123292061
2,29,0.334985082
2,30,0
2,31,0
2,32,0.068477569
2,33,0.132766369
2,34,0
2,35,0
2,36,-0.121278263
2,37,0
2,38,0.087292115
2,39,0
2,40,0
2,41,0
2,42,0
2,43,0.293225095
2,44,-0.13834625
2,45,0
2,46,-0.067939254
2,47,-0.108796203
2,48,-0.268328157
2,49,0
2,50,0.081426148
2,51,-0.004063893
2,52,0.508474576
2,53,0.220817723
2,54,0
2,55,-0.024367383
2,56,-0.215727493
2,57,-0.328252018
2,58,-0.347832797
2,59,0
2,60,-0.23570226
2,61,-0.133339596
2,62,0.151703139
2,63,-0.048927989
2,64,0
2,65,-0.136082763
2,66,0
2,67,0
2,68,0.002909729
