element_id,sentence_id,sentiment
1,1,-0.464780791
1,2,0.093925869
1,3,-0.013715685
1,4,-0.008468433
1,5,0.37225293
1,6,0.14845878
1,7,-0.194593958
1,8,-0.14284142
1,9,0.138838995
1,10,-0.155603009
1,11,-0.185964689
1,12,-0.071712452
1,13,0.374659303
1,14,0.096709809
1,15,0.081480423
1,16,0.162432476
1,17,-0.205161325
1,18,0.036404174
1,19,0.073085723
1,20,-0.048334655
1,21,0.137158055
1,22,0.295961384
1,23,-0.075868755
1,24,0.129027408
1,25,0.09771642
1,26,0.090903296
1,27,0.224748164
1,28,-0.042882022
1,29,0
1,30,-0.149067273
1,31,0
1,32,-0.447213595
1,33,0.32075015
1,34,-0.056165078
1,35,0.136018562
1,36,-0.108458979
1,37,0.422975221
1,38,0.225744033
1,39,0.169899882
1,40,0
1,41,0.43219213
1,42,0.467205491
1,43,0.277468625
1,44,0.113826522
1,45,0.250684562
1,46,-0.278629445
1,47,-0.021671606
1,48,-0.039445232
1,49,0.011693583
1,50,0.336239682
1,51,0
1,52,0.396201805
1,53,0.120423627
1,54,0.152443187
1,55,0
1,56,0
1,57,0.694046749
1,58,-0.097594482
1,59,-0.025812794
1,60,-0.015613797
1,61,0.022133238
1,62,0.280198519
1,63,0.095377009
1,64,-0.167006428
1,65,0.303730598
1,66,0.186729041
1,67,0.018491922
1,68,-0.300452327
1,69,0.034612198
1,70,-0.141268737
1,71,0.02693305
1,72,-0.185940696
1,73,-0.128975631
1,74,0.473526868
1,75,0.351364185
1,76,-0.102896364
1,77,0
1,78,0
1,79,0
1,80,-0.233269022
1,81,0
2,1,0.036573926
2,2,0.162838459
2,3,0.322153166
2,4,-0.055842346
2,5,-0.034556061
2,6,-0.112879241
2,7,-0.033935451
2,8,0.002235161
2,9,0.184029645
2,10,-0.121380673
2,11,0.186070055
2,12,-0.108558451
2,13,0.18582329
2,14,0.274141431
2,15,0
2,16,0.06278286
2,17,-0.146844923
2,18,0
2,19,-0.068549838
2,20,-0.170464004
2,21,0.291477079
2,22,0.053892498
2,23,-0.186964309
2,24,0.473250272
2,25,0.205960041
2,26,0
2,27,0
2,28,-0.161451688
2,29,-0.136753313
2,30,0.32075015
2,31,0
2,32,0
2,33,0.004513101
2,34,0
2,35,0
2,36,0
2,37,-0.024289919
2,38,-0.045442277
2,39,0.006110767
2,40,0
2,41,-0.064886185
2,42,0
2,43,0
2,44,0
2,45,0.32075015
2,46,0.033381027
2,47,-0.184724898
2,48,-0.008203117
