element_id,sentence_id,sentiment
1,1,0.070263968
1,2,0.091815242
1,3,0.285566287
1,4,0.280891986
1,5,0.436010796
1,6,-0.290496093
1,7,-0.035136418
1,8,-0.322213396
1,9,0.125860422
1,10,-0.268366323
1,11,0.064871151
1,12,0.206585719
1,13,0.141407674
1,14,-0.043528775
1,15,-0.172324859
1,16,0.038931357
1,17,0.264229649
1,18,0.394747576
1,19,0.01512486
1,20,0.296891806
1,21,0
1,22,0.336360758
1,23,-0.010901573
1,24,0.190989715
1,25,0.070344982
1,26,0.09471163
1,27,-0.331424054
1,28,0
1,29,0.038596857
1,30,0.045687432
1,31,-0.121685694
1,32,-0.123418249
1,33,0.281500643
1,34,-0.01531271
1,35,0.051544743
1,36,0.372082849
1,37,0.011367878
1,38,0.199311804
1,39,0.002874789
1,40,0
1,41,-0.017397013
1,42,-0.158109719
1,43,0.045360921
1,44,-0.208795313
1,45,0.202613038
1,46,0.143376153
1,47,0.084518158
1,48,0.283884936
1,49,0.253639107
1,50,0.426800967
1,51,0.151833467
1,52,-0.185185185
1,53,0.210265418
1,54,0.107361421
1,55,0.244672368
1,56,0.309838668
1,57,0.101628619
1,58,0.245954929
1,59,0
1,60,0.10526298
1,61,0.008789225
1,62,-0.006738084
1,63,0.071210526
1,64,0.073011759
1,65,-0.096496173
1,66,-0.00791206
1,67,0.118078733
1,68,0.295887423
1,69,0.024435333
1,70,0.15822303
1,71,0.082938152
1,72,0
1,73,0
1,74,0
1,75,0.206294523
1,76,-0.166742333
1,77,-0.255393671
1,78,-0.011644655
1,79,0.084371758
1,80,-0.030816678
1,81,-0.014720829
1,82,0.025944523
1,83,-0.050113521
1,84,0.008600579
1,85,0.199749352
1,86,0.315721517
1,87,0.100265623
1,88,0.282367568
1,89,0.211214295
1,90,0.017344386
1,91,0
1,92,0.124431429
1,93,-0.134107258
1,94,-0.247266698
1,95,0.150634067
1,96,0.099831988
1,97,-0.288675135
1,98,-0.157678114
1,99,-0.005163181
1,100,0.329529205
1,101,0.117194776
1,102,0.310686491
1,103,0.293938769
1,104,-0.08659476
1,105,0.064852607
1,106,0.059509888
